id;activity_name;activity_type;activity_date;number_of_participants;max_number_of_participants;location;description;created_on;updated_on;status;cover_image;cover_image_content_type;paid;cost_ofactivity
1;likely savour;OTHER;2025-02-25T17:52:42;12813;22134;although;../fake-data/blob/hipster.txt;2025-02-26T15:24:14;2025-02-25T19:30:07;FINISHED;../fake-data/blob/hipster.png;image/png;PAID;31827.96
2;supposing ack;GYM;2025-02-26T11:02:25;6350;16987;implode unbearably uncommon;../fake-data/blob/hipster.txt;2025-02-26T14:03:12;2025-02-26T00:34:56;CURRENTLY_HAPPENING;../fake-data/blob/hipster.png;image/png;NOTPAID;23395.4
3;and;SPORTS;2025-02-25T21:34:03;9881;904;across;../fake-data/blob/hipster.txt;2025-02-26T09:52:01;2025-02-26T10:34:21;CANCELED;../fake-data/blob/hipster.png;image/png;PAID;25783.11
4;likely;SOCIAL;2025-02-25T23:35:54;28792;27363;cappelletti very before;../fake-data/blob/hipster.txt;2025-02-25T22:07:10;2025-02-25T17:10:04;CANCELED;../fake-data/blob/hipster.png;image/png;NOTPAID;20407.89
5;oof hoot barring;OTHER;2025-02-26T02:37:41;27633;2013;gah controvert;../fake-data/blob/hipster.txt;2025-02-26T12:27:21;2025-02-25T17:57:17;ANNOUNCED;../fake-data/blob/hipster.png;image/png;NOTPAID;12260.67
6;now defrag whoa;SPORTS;2025-02-25T17:26:01;11236;9280;digestive;../fake-data/blob/hipster.txt;2025-02-26T13:15:32;2025-02-25T21:10:06;CURRENTLY_HAPPENING;../fake-data/blob/hipster.png;image/png;PAID;30359.78
7;mentor;ACADEMIC;2025-02-25T23:59:14;28960;26377;though;../fake-data/blob/hipster.txt;2025-02-26T16:54:53;2025-02-26T04:12:42;ANNOUNCED;../fake-data/blob/hipster.png;image/png;PAID;20945.1
8;broadcast;OTHER;2025-02-25T19:31:08;23192;22687;for lest;../fake-data/blob/hipster.txt;2025-02-26T10:17:40;2025-02-26T06:47:05;ANNOUNCED;../fake-data/blob/hipster.png;image/png;PAID;4790.01
9;striking orange considering;ACADEMIC;2025-02-25T22:42:31;20219;30711;per when upliftingly;../fake-data/blob/hipster.txt;2025-02-26T04:47:24;2025-02-26T16:59:10;CURRENTLY_HAPPENING;../fake-data/blob/hipster.png;image/png;NOTPAID;29675.92
10;exactly operating;ACADEMIC;2025-02-26T01:36:22;3464;31099;instead while bah;../fake-data/blob/hipster.txt;2025-02-25T21:16:05;2025-02-26T10:25:35;CANCELED;../fake-data/blob/hipster.png;image/png;NOTPAID;721.41
