id;activity_type;event_type;booking_date;party_size;booking_status;created_at;assigned_at
1;SPORTS;SWIMMING_POOL;2025-02-26;17258;CONFIRMED;2025-02-25T23:25:23;2025-02-26T14:18:36
2;GYM;TENNIS_COURT;2025-02-25;28000;CANCELLED;2025-02-26T12:51:37;2025-02-26T14:33:03
3;SPORTS;TENNIS_COURT;2025-02-26;17172;CONFIRMED;2025-02-25T19:57:50;2025-02-26T14:48:26
4;SOCIAL;SQUASH_COURT;2025-02-26;23656;CONFIRMED;2025-02-25T20:27:44;2025-02-26T15:10:05
5;SPORTS;SQUASH_COURT;2025-02-26;17702;CONFIRMED;2025-02-26T16:15:27;2025-02-25T18:54:56
6;ACADEMIC;SQUASH_COURT;2025-02-26;1629;CONFIRMED;2025-02-26T06:34:12;2025-02-26T08:54:54
7;SOCIAL;TENNIS_COURT;2025-02-26;31962;CANCELLED;2025-02-26T14:01:10;2025-02-26T09:19:18
8;ACADEMIC;SWIMMING_POOL;2025-02-25;16675;CANCELLED;2025-02-26T12:42:23;2025-02-26T01:48:45
9;GYM;SQUASH_COURT;2025-02-25;15441;CANCELLED;2025-02-25T17:33:23;2025-02-26T05:00:13
10;SOCIAL;EVENT_ROOMS;2025-02-25;15117;CONFIRMED;2025-02-26T05:10:21;2025-02-26T13:49:50
