id;request_time;request_status;friend_since;nickname
1;2025-02-26T15:13:56;ACCEPT;2025-02-25T17:48:14;messy
2;2025-02-25T20:53:48;PENDING;2025-02-25T23:18:30;platypus
3;2025-02-25T21:12:32;ACCEPT;2025-02-26T16:31:07;ack
4;2025-02-26T16:59:41;ACCEPT;2025-02-26T15:08:54;justly
5;2025-02-26T00:05:19;ACCEPT;2025-02-25T19:49:25;or
6;2025-02-26T08:46:14;DECLINED;2025-02-26T00:32:15;carefree jovially
7;2025-02-26T14:59:31;ACCEPT;2025-02-26T06:44:45;till
8;2025-02-25T20:53:46;ACCEPT;2025-02-26T09:46:35;because miserable
9;2025-02-25T20:13:34;ACCEPT;2025-02-26T03:32:16;planula
10;2025-02-25T20:43:56;ACCEPT;2025-02-26T03:31:58;plump slather
