id;is_group;name;created_on;updated_on
1;true;assured fog;2025-04-23T08:55:11;2025-04-23T10:11:12
2;false;across phew duh;2025-04-24T02:07:24;2025-04-23T14:46:00
3;true;incomparable meander;2025-04-23T21:50:38;2025-04-23T10:23:04
4;true;which peaceful phew;2025-04-24T04:42:36;2025-04-23T10:40:34
5;false;sate aw;2025-04-24T03:34:00;2025-04-23T14:28:06
6;true;when cosset cone;2025-04-23T11:07:09;2025-04-23T22:39:31
7;true;near decryption;2025-04-24T03:51:40;2025-04-23T20:32:56
8;false;provided;2025-04-24T04:29:35;2025-04-23T08:29:17
9;false;boohoo badly;2025-04-23T21:03:52;2025-04-24T00:22:55
10;true;oh factorise;2025-04-23T16:45:55;2025-04-24T01:34:15
