id;notification_type;title;message;timestamp;is_read
1;NEW_CHAT_MESSAGE;yesterday as;arrange narrate atomize;2025-02-26T12:39:27;false
2;FRIEND_REQUEST;boldly unlucky gee;orientate ick;2025-02-25T19:45:28;true
3;BOOKING_CONFIRMATION;knowingly dearest;doting;2025-02-26T06:29:32;true
4;NEW_CHAT_MESSAGE;meanwhile downchange bid;eek;2025-02-26T08:25:18;false
5;BOOKING_CONFIRMATION;opposite inventory;yuck fooey;2025-02-25T18:55:26;true
6;NEW_CHAT_MESSAGE;snoopy lonely that;hm whoever besmirch;2025-02-26T14:27:08;false
7;NEW_CHAT_MESSAGE;incidentally;treasure unless;2025-02-26T10:51:34;true
8;ACTIVITY_MATCH;orientate than enormously;showy gosh;2025-02-26T01:54:54;true
9;NEW_CHAT_MESSAGE;upbeat illusion;woeful among;2025-02-26T10:47:23;true
10;ACTIVITY_MATCH;atop ah;unimpressively;2025-02-26T10:07:17;true
