id;date;start_hour;end_hour;capacity;remaining_capacity;status
1;2025-04-24;28485;2261;23035;24980;BLOCKED
2;2025-04-23;17696;582;23798;21534;FULL
3;2025-04-23;15754;5137;31951;2067;MAINTENANCE
4;2025-04-23;31369;6909;19678;28029;BLOCKED
5;2025-04-23;14311;9913;10990;11766;FULL
6;2025-04-24;13991;30263;11628;23340;OCCUPIED
7;2025-04-24;14195;8097;22335;15331;OCCUPIED
8;2025-04-23;24604;21009;23253;16330;OCCUPIED
9;2025-04-23;24083;3402;3868;1797;BLOCKED
10;2025-04-23;20495;28956;28598;18385;AVAILABLE
